flight,flight_name,axis,state,samples,duration_s,angle_err_mean_deg,angle_err_rms_deg,angle_abs_err_p95_deg,angle_abs_err_p99_deg,angle_target_min_deg,angle_target_max_deg,angle_meas_min_deg,angle_meas_max_deg,angle_lag_ms,angle_corr,angle_output_rms_dps,angle_p_rms_dps,angle_i_rms_dps,angle_d_rms_dps,angle_ff_residual_rms_dps,angle_output_help_pct,angle_p_help_pct,angle_ff_with_sp_rate_pct,gyro_err_mean_dps,gyro_err_rms_dps,gyro_abs_err_p95_dps,gyro_abs_err_p99_dps,gyro_lag_ms,gyro_corr,gyro_output_rms,gyro_p_rms,gyro_i_rms,gyro_d_rms,gyro_output_help_pct,gyro_p_help_pct,gyro_i_help_pct,gyro_d_damping_pct,gyro_d_opposes_p_pct,gyro_ff_residual_rms
1,first_baseline_ff012_no_roll_i_d,roll,all_active,64127,90.444,0.13497792062625724,3.8234845079571906,8.926133099999987,16.264669,-20.0,20.0,-22.205173,22.882675,93.0,0.9448373154688589,25.47675107932589,24.852649304556284,0.0,0.0,4.187174651411353,98.0119189511323,100.0,32.332155477031804,0.4166767450060036,17.87309082478062,40.701693399999996,64.4808326199999,42.0,0.905344574977341,86.62656172554111,86.62656172554111,0.0,0.0,90.64671814671814,90.64671814671814,0.0,0.0,0.0,0.0
1,first_baseline_ff012_no_roll_i_d,roll,quiet_center,41015,90.444,0.06972067831281238,1.6724253722240185,3.5907484,4.584821780000002,-5.8,2.2,-13.083826,19.297762,0.0,0.210067790020212,10.84330070285566,10.870764901883227,0.0,0.0,2.2691212803642613,99.02378592666005,100.0,28.732747804265994,-0.3648872100938682,11.911442760589354,25.76434509999998,36.167317480000015,75.0,0.3180972153801981,81.00250312227308,81.00250312227308,0.0,0.0,85.3879212847772,85.3879212847772,0.0,0.0,0.0,0.0
1,first_baseline_ff012_no_roll_i_d,roll,rapid_step,48123,82.871,0.22847378521704792,4.371987742764027,10.970103,17.185562,-20.0,20.0,-22.205173,22.882675,93.0,0.9634802942593107,29.083646860967995,28.417920335287832,0.0,0.0,4.528492184923028,97.46068082580864,100.0,32.861736334405144,1.751564114332024,20.07228659233987,45.28064260000001,68.67788392,42.0,0.9178594183058623,78.7184547258329,78.7184547258329,0.0,0.0,98.85022952507614,98.85022952507614,0.0,0.0,0.0,0.0
1,first_baseline_ff012_no_roll_i_d,roll,large_angle,11546,74.489,0.02619973428027023,7.478173480320943,16.601137,19.252742349999995,-20.0,20.0,-22.205173,22.882675,70.0,0.9468606621088415,49.45258576092372,48.60812764828199,0.0,0.0,7.562791991620537,96.32483173928445,100.0,31.79611650485437,-2.0308541274900396,27.24703391042693,60.70478049999999,90.85937849999976,18.0,0.8677661223206049,103.53872756967401,103.53872756967401,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
1,first_baseline_ff012_no_roll_i_d,roll,stable_hold,55886,90.444,0.1603461658733851,1.765996208922781,3.770136,4.8083944500000015,-20.0,20.0,-22.205173,22.882675,0.0,0.9343981456110682,11.252531658143887,11.478975343340093,0.0,0.0,2.6730171099354103,98.24195906432749,100.0,30.334572490706318,-0.014414266900475876,11.540913774704574,24.63171575,34.75907770000001,34.0,0.4933421110137675,72.3542506226565,72.3542506226565,0.0,0.0,89.23612396786018,89.23612396786018,0.0,0.0,0.0,0.0
1,first_baseline_ff012_no_roll_i_d,pitch,all_active,64127,90.444,0.13665983231712067,3.195663041437176,7.365544,13.552216,-20.0,20.0,-20.368223,19.23554,88.0,0.9711740415504521,21.21334852268705,20.45224389321972,0.0,0.0,3.2445054725544775,98.29202249531347,100.0,34.03247631935047,1.4152490462519687,13.763305226730214,26.020501499999988,47.258149299999936,30.0,0.8962202389522,78.75954892218907,79.5517193230347,2.1294215039412467,0.0,90.44296214745977,90.52553184599942,57.181944759252666,0.0,0.0,2.423466351953989e-06
1,first_baseline_ff012_no_roll_i_d,pitch,quiet_center,44724,90.444,0.2452542532868259,1.3793908056582598,2.864499,3.7098156499999924,-0.5,7.5,-18.947367,13.030847,28.0,0.6352759333505037,9.271172506603504,8.82810150235741,0.0,0.0,1.7778866238830071,98.46997557491129,100.0,31.52,2.221540660093015,10.549980753127118,19.756509599999998,28.63228009999992,14.0,0.2977270982159575,74.19487746269596,75.38525011361396,2.1384131041250494,0.0,86.33029872639642,86.38850729935504,60.532259191133676,0.0,0.0,2.4780315571798804e-06
1,first_baseline_ff012_no_roll_i_d,pitch,rapid_step,44182,82.871,-0.105115446064008,3.776555559926992,8.741186,14.996471720000015,-20.0,20.0,-20.368223,19.23554,88.0,0.9759910783577106,24.929206308633667,24.169956031319664,0.0,0.0,3.7536700376910974,97.71903744309208,100.0,35.38461538461539,-0.4732074076320674,15.297881710976812,29.849866999999918,54.19431021000021,31.0,0.9218373240394241,72.4492621536667,72.60409203884697,1.9427124278777748,0.0,98.53715898400752,98.65004703668862,49.40263405456256,0.0,0.0,1.962541341014007e-06
1,first_baseline_ff012_no_roll_i_d,pitch,large_angle,8233,76.10300000000001,-0.21924462650309728,6.932976252594266,15.288287599999997,21.416234840000012,-20.0,20.0,-20.368223,19.23554,60.0,0.9396827203375038,45.32422758969523,44.371048827765684,0.0,0.0,6.641053793918751,98.57814045499505,100.0,39.6600566572238,3.037227248390623,21.167913931564286,46.307677399999996,82.84581296000013,10.0,0.8994799578590497,97.7524347879185,97.3724022212221,2.2594265574970867,0.0,99.7741247333417,100.0,56.581754297904375,0.0,0.0,2.470548002927512e-06
1,first_baseline_ff012_no_roll_i_d,pitch,stable_hold,57842,90.444,0.13160838601708102,1.6061599900162673,3.419768,4.730376159999998,-20.0,20.0,-20.368223,19.23554,1.0,0.9554773919167796,10.527022680106057,10.279424243661087,0.0,0.0,2.1777684757508866,98.15266767613788,100.0,32.139883430474605,1.65685883703883,10.55011817168182,20.037306899999983,28.469169019999974,24.0,0.5545923337144909,69.23401909765221,70.20176978267081,2.0921781886982496,0.0,89.40122023648831,89.4786098662779,57.930637294602526,0.0,0.0,2.2683465562630324e-06
