flight,axis,event_time_active_s,delta_deg,pre_error_deg,post_angle_err_rms_deg,post_angle_abs_err_p95_deg,t63_ms,overshoot_deg,overshoot_pct_of_step,gyro_err_rms_dps,gyro_abs_err_p95_dps,angle_ff_with_sp_rate_pct,gyro_output_help_pct,gyro_p_help_pct,gyro_i_help_pct,gyro_d_damping_pct,gyro_d_opposes_p_pct,gyro_p_rms,gyro_i_rms,gyro_d_rms
1,roll,4.49,7.7799995,-0.740767,1.4849305207231907,2.6325087000000007,389.0,3.6775545000000003,47.2693410841479,9.535624821786403,17.911303250000007,18.181818181818183,100.0,100.0,0.0,0.0,0.0,36.23537377476554,0.0,0.0
1,roll,5.299,6.359999000000002,-0.4941840000000006,1.6710893101754913,3.06271605,284.0,0.053245999999997906,0.8372013894970406,4.9505503193964735,9.26879035,8.333333333333332,100.0,100.0,0.0,0.0,0.0,18.81209102751225,0.0,0.0
1,roll,6.159,-15.84,0.0977680000000003,4.372138192639001,8.914229799999998,284.0,3.721260000000001,23.492803030303037,24.901447459027963,46.39006439999999,13.043478260869565,100.0,100.0,0.0,0.0,0.0,94.62549931036973,0.0,0.0
1,roll,8.909,2.938295,-0.1986850000000001,1.967603681752523,3.7643512999999995,151.0,2.14947,73.15364862956238,10.226515937576822,20.81861774999999,22.58064516129032,100.0,100.0,0.0,0.0,0.0,38.86076027497192,0.0,0.0
1,roll,14.218,-2.118931,-0.88924,1.3640840711906919,2.891832,212.0,0.2514590000000001,11.867257593569594,6.075539702342806,11.534647,37.03703703703704,100.0,100.0,0.0,0.0,0.0,23.08705054016298,0.0,0.0
1,roll,15.418000000000001,1.262397,-0.5898470000000002,1.0323289424473503,1.3947517999999999,21.0,2.212204,175.2383758833394,5.095725043450342,9.2904278,73.33333333333333,100.0,100.0,0.0,0.0,0.0,19.36375493232983,0.0,0.0
1,roll,16.358,1.8553729999999997,1.169915,2.5828790684903886,4.708283799999999,223.0,2.328574,125.5043595007581,9.911786385924355,16.876501,53.125,100.0,100.0,0.0,0.0,0.0,37.66478755367162,0.0,0.0
1,roll,17.238,-1.5074770000000002,1.026429,1.5874477368540312,2.7567165,0.0,1.8952579999999997,125.72384188946164,10.07183863587513,18.127519799999998,50.0,100.0,100.0,0.0,0.0,0.0,38.27298628813846,0.0,0.0
1,roll,18.615000000000002,-14.296367,1.518879,4.858440936320347,9.363892199999999,414.0,3.3088649999999973,23.144796156953703,13.193568824330917,27.130027700000003,43.75,100.0,100.0,0.0,0.0,0.0,50.13556070825081,0.0,0.0
1,roll,19.438,12.8,-0.04915800000000026,4.381123771721694,10.64055805,227.0,2.790958,21.804359374999997,24.377739048940853,43.00609035,56.25,100.0,100.0,0.0,0.0,0.0,92.6354069992683,0.0,0.0
